"loc";"prv";"localidad"
0;0;"                              "
1;1;"CIUDAD AUTONOMA BUENOS AIRES  "
1;2;"BUENOS AIRES                  "
1;3;"CATAMARCA                     "
1;4;"CORDOBA                       "
1;5;"CORRIENTES                    "
1;6;"CHACO                         "
1;7;"CHUBUT                        "
1;8;"ENTRE RIOS                    "
1;9;"FORMOSA                       "
1;10;"SAN SALVADOR DE JUJUY         "
1;11;"LA PAMPA                      "
1;12;"LA RIOJA                      "
1;13;"MENDOZA                       "
1;14;"MISIONES                      "
1;15;"NEUQUEN                       "
1;16;"RIO NEGRO                     "
1;17;"SALTA                         "
1;18;"SAN JUAN                      "
1;19;"SAN LUIS                      "
1;20;"SANTA CRUZ                    "
1;21;"SANTA FE                      "
1;22;"SANTIAGO DEL ESTERO           "
1;23;"TIERRA DEL FUEGO              "
1;24;"TUCUMAN                       "
2;2;"MONTE CHINGOLO                "
2;16;"헬RIHUAO                      "
2;22;"A헤TUYA                       "
3;2;"ABASTO                        "
3;13;"AGRELO                        "
3;14;"ALBA POSSE                    "
4;2;"ABBOTT                        "
4;4;"ACHIRAS (DEPTO DE RIO CUARTO) "
5;5;"ABELI                         "
5;21;"AARON CASTELLANOS             "
5;24;"ACONQUIJA                     "
6;6;"ARROYO QUINTANA               "
6;10;"ABRA PAMPA                    "
6;14;"APOSTOLES                     "
6;16;"AGUADA DE CORDOBA             "
7;2;"ACASSUSO                      "
7;7;"ALDEA APELEG                  "
7;12;"OLTA                          "
7;14;"ARISTOBULO DEL VALLE          "
8;4;"ADELIA MARIA                  "
8;8;"ALBERTO GERCHUNOFF            "
9;6;"BARRANQUERAS                  "
9;9;"ALTO ALEGRE                   "
10;10;"AGUA CHICA                    "
10;11;"ALTA ITALIA                   "
10;13;"ALGARROBAL ARRIBA             "
11;11;"ANGUIL                        "
12;2;"ADELA CORTI                   "
12;4;"AGUA DE ORO                   "
12;17;"AGUARAY                       "
12;18;"ALBARDON                      "
13;6;"BRIO LA CAPILLA               "
13;7;"ALTO RIO SENGUER              "
13;13;"ALPATACAL                     "
13;15;"ALUMINE                       "
13;18;"ALBARRACIN                    "
13;21;"ALCORTA                       "
14;2;"ADOLFO F ORMA APDRO FCGB      "
14;5;"AGUARA CUA                    "
14;12;"AIMOGASTA                     "
14;14;"ARROYO MAGDALENA              "
14;15;"ANDACOLLO                     "
14;21;"ALDAO                         "
15;2;"ADOLFO GONZALES CHAVES        "
15;15;"ANQUINCO                      "
15;16;"AGUARA                        "
16;2;"INGENIERO ADOLFO SOURDEAUX    "
16;16;"ALANITOS                      "
16;24;"AGUILARES                     "
17;2;"ADROGUE                       "
17;3;"ALIJILAN                      "
17;13;"ALTO DEL SALVADOR             "
17;17;"ALEM                          "
17;25;"PUNTA DEL ESTE - URUGUAY      "
18;16;"ALLEN                         "
18;18;"ALTO HUACO                    "
18;21;"ALVEAR                        "
19;18;"AMBAS PUNTILLAS               "
19;19;"ALGARROBAL (RENCA)            "
19;20;"CA헤DA MOLINARI               "
19;24;"ALDERETES                     "
20;5;"ALAMO (GOYA - DEPTO DE GOYA)  "
20;20;"CA헤DON BOTELLO               "
20;21;"AMENABAR                      "
21;8;"ALDEA MARIA LUISA             "
21;21;"ANDINO                        "
22;22;"AGUA SALADA                   "
24;2;"AGUSTIN FERRARI               "
24;12;"AMILGANCHO                    "
24;24;"ALTA GRACIA DE VILLA BURRUYACU"
26;2;"AGUSTIN ROCA                  "
26;15;"BAJADA DEL AGRIO              "
27;7;"BAHIA CRACHER                 "
29;5;"ALGARROBALES                  "
29;20;"CA헤DON SECO                  "
30;2;"ALASTUEY APDRO FCGU           "
30;4;"ALEJO LEDESMA                 "
30;14;"MONTECARLO                    "
30;21;"ARMSTRONG                     "
31;11;"BRIO FENIX                    "
31;21;"AROCENA                       "
32;2;"ALBERDI                       "
33;2;"ALBERTI                       "
34;3;"ANDALGALA                     "
34;5;"ALVEAR                        "
35;14;"BERNARDO DE IRIGOYEN          "
35;20;"EL CALAFATE                   "
36;13;"LUNLUNTA                      "
36;20;"CALETA OLIVIA                 "
37;2;"ALDO BONZI                    "
37;15;"BRIO BOUQUET ROLDAN           "
38;6;"CAMPO LARGO                   "
39;2;"ALEJANDRO PETION              "
39;4;"ALTA GRACIA                   "
39;21;"ARROYO SECO                   "
40;16;"BALNEARIO LAS GRUTAS          "
42;11;"CALEUFU                       "
42;15;"BRIO PELIGROSO                "
43;2;"ALFREDO DEMARCHI              "
43;17;"APOLINARIO SARAVIA            "
43;23;"RIO GRANDE                    "
44;7;"BRIO CIUDADELA                "
44;13;"BERMEJO                       "
45;6;"CHARADAI                      "
46;6;"CHARATA                       "
47;2;"ALIANZA ALMACENES             "
48;13;"BRIO BOMBAL SUD               "
48;21;"AVELLANEDA                    "
50;22;"AMBARGASTA                    "
50;23;"USHUAIA                       "
52;13;"BRIO COMERCIO                 "
53;14;"CAMPO GRANDE                  "
54;7;"BRIO PROSPERO PALAZZO         "
54;9;"CLORINDA                      "
54;14;"CAMPO RAMON                   "
54;21;"BARRANCAS                     "
55;2;"ALMTE BROWN                   "
55;18;"BARRIO RAWSON                 "
56;2;"ALMIRANTE IRIZAR              "
56;18;"RIVADAVIA                     "
57;4;"ALTO VERDE                    "
57;11;"CATRILO                       "
57;14;"CAMPO VIERA                   "
58;6;"COLONIA BENITEZ               "
58;14;"CANDELARIA                    "
59;11;"A. CEBALLOS                   "
59;13;"BRIO GRAL SAN MARTIN          "
60;14;"CAPIOVISI헲                   "
61;4;"AMBUL                         "
61;14;"CAPIOVY                       "
61;18;"CA헤DA                        "
62;2;"EL TALAR                      "
62;13;"LUZURIAGA                     "
62;15;"CALIHUE                       "
63;21;"BIGAND                        "
64;21;"BOMBAL                        "
65;2;"ALTOS DE TRISTAN SUAREZ       "
65;3;"BELEN                         "
65;8;"ARROYO CONCEPCION             "
67;20;"EL CERRITO                    "
68;2;"ALVARO BARROS                 "
70;4;"ARGUELLO                      "
70;12;"CATUNA                        "
70;17;"BELGRANO                      "
71;4;"ARIAS                         "
72;5;"BA헤DO NORTE                  "
73;2;"AMERICA                       "
73;4;"ARPRTO CORDOBA                "
74;10;"CATAMONTA헤                   "
74;12;"CHAMICAL                      "
74;13;"BRIO SARMIENTO                "
74;16;"CATRIEL                       "
74;18;"CAPITAN LAZO                  "
75;4;"ARROYITO                      "
75;15;"CAVIAHUE                      "
75;20;"EL MANGRULLO                  "
76;11;"COLONIA BARON                 "
77;4;"ARROYO ALGODON                "
77;12;"CHEPES                        "
77;15;"CENTENARIO                    "
77;18;"CAUCETE                       "
77;21;"BARRIO CAIMA                  "
78;6;"JUAN JOSE CASTELLI            "
78;14;"APOSTOLES                     "
78;24;"BANDA DEL RIO SALI            "
79;12;"CHILECITO                     "
80;14;"COLONIA AURORA                "
83;17;"BARRIO LA LOMA                "
83;18;"CHIMBAS                       "
83;24;"BELLA VISTA                   "
84;13;"BUENA NUEVA                   "
88;17;"BRIO PARQUE 3 CERRITOS        "
90;2;"ARENAZA                       "
90;14;"COLONIA GUARANI               "
90;16;"CHACRAS DE ALLEN              "
91;4;"ASCONCHINGA                   "
91;5;"BELLA VISTA                   "
91;12;"DESIDERIO TELLO               "
93;14;"COLONIA JAPONESA              "
93;24;"BANDA DEL RIO SALI            "
94;4;"ATOS PAMPA                    "
95;2;"ARISTOBULO DEL VALLE          "
95;6;"COLONIA POPULAR               "
96;16;"CHICHINALES                   "
97;2;"ARRECIFES                     "
97;8;"ARROYO MOREIRA                "
98;10;"VILLA CIUDAD DE NIEVA         "
99;13;"CAMPAMENTOS                   "
99;19;"BEAZLEY                       "
103;3;"CASAS VIEJAS (DEPTO AMBATO)   "
103;17;"CACHI                         "
104;3;"CATAMARCA                     "
105;6;"COLONIAS UNIDAS               "
105;13;"CAPILLA DEL ROSARIO           "
106;6;"CONCEPCION DEL BERMEJO        "
106;16;"CINCO SALTOS                  "
107;6;"CORZUELA                      "
107;13;"CARBOMETAL                    "
107;16;"CIPOLLETTI                    "
107;17;"CAFAYATE                      "
108;6;"COTE LAI                      "
108;15;"CHOS MALAL                    "
108;22;"BANDERA                       "
109;17;"CALDERA                       "
109;20;"GOBERNADOR GREGORES           "
110;15;"SAN MARTIN DE LOS ANDES       "
111;14;"WANDA                         "
113;17;"ROSARIO DE LERMA              "
113;20;"GUARKENKEN AIKE               "
114;4;"BAJO GRANDE                   "
114;13;"CARRODILLA                    "
114;14;"25 DE MAYO                    "
115;4;"BAJO GRANDE                   "
115;14;"CONCEPCION DE LA SIERRA       "
115;16;"CATRIEL                       "
116;9;"EL COLORADO                   "
117;7;"CHOLILA                       "
117;17;"CAMPAMENTO VESPUCIO           "
117;21;"BRIO SUR                      "
118;18;"DESAMPARADOS                  "
119;2;"ARROYO ARROYON FELICARIA      "
119;7;"COMODORO RIVADAVIA            "
119;13;"CERRILLOS AL SUD              "
122;15;"CORRENTOSO                    "
123;4;"BALLESTEROS                   "
124;3;"CHUMBICHA                     "
124;16;"COLONIA RUSA                  "
125;13;"CHACRAS DE CORIA              "
126;8;"AV EJTO PARANA                "
128;6;"TRES ISLETAS                  "
130;7;"COLELACHE                     "
132;15;"CUTRAL CO                     "
132;21;"CA헤DA DE GOMEZ               "
133;8;"BASAVILBASO                   "
133;13;"CORONEL DORREGO               "
136;4;"BELL VILLE                    "
136;21;"CA헤DA ROSQUIN                "
137;14;"ELDORADO                      "
138;14;"ENSANCHE ESTE                 "
138;17;"CASTELLANOS                   "
141;4;"BERROTARAN                    "
141;7;"DIADEMA ARGENTINA             "
142;6;"EL ZAPALLAR                   "
142;17;"CERRILLOS                     "
142;21;"CAFFERATA                     "
143;4;"BIALET MASSE                  "
143;14;"FLORENTINO AMEGHINO           "
143;21;"CALCHAQUI                     "
144;13;"COLONIA BOMBAL                "
144;24;"LOS RALOS                     "
147;14;"GARUHAPE                      "
148;14;"GARUPA                        "
149;4;"BOUWER                        "
149;11;"25 DE MAYO                    "
150;4;"BRINKMANN                     "
150;9;"FORMOSA                       "
151;6;"FONTANA                       "
151;14;"GOBERNADOR ROCA               "
152;14;"GENERAL ALVEAR                "
153;4;"BRIO ACOSTA                   "
153;16;"EL BOLSON                     "
154;14;"GUARANI                       "
155;15;"EL HUECU                      "
157;4;"BRIO ALBERDI                  "
159;4;"BRIO ALBORADA                 "
160;14;"PUERTO IGUAZU                 "
161;13;"COLONIA SANTA TERESA          "
162;4;"BRIO ALTA CORDOBA             "
163;4;"BRIO ALTAMIRA                 "
163;21;"CAMPO EL ARAZA                "
164;4;"BRIO ALTO ALBERDI             "
164;6;"GENERAL JOSE DE SAN MARTIN    "
164;13;"3 DE MAYO                     "
165;4;"BRIO ALTO ALBERDI             "
167;6;"GRAL PINEDO                   "
167;13;"COQUIMBITO                    "
167;17;"CORONEL MOLDES                "
168;4;"BRIO ALTO PALERMO             "
168;6;"GRAL VEDIA                    "
168;13;"CORDON DE PLATA               "
169;4;"BRIO ALTO SUD SAN VICENTE     "
170;4;"BRIO ALTO VERDE               "
170;14;"JARDIN AMERICA                "
171;4;"BRIO ALTOS DE SAN MARTIN      "
171;20;"LAS HERAS                     "
173;4;"BRIO ALTOS DE V SARSFIELD     "
173;17;"SAN ANTONIO DE LOS COBRES     "
174;4;"BRIO AMEGHINO                 "
174;13;"CRUZ DE PIEDRA                "
175;4;"BRIO AMPLIACION AMERICA       "
178;4;"BRIO ARGUELLO                 "
179;20;"LOS ANTIGUOS                  "
183;9;"IBARRETA                      "
184;4;"BRIO AYACUCHO                 "
185;9;"ING GUILLERMO N JUAREZ        "
188;16;"GRAL. ENRIQUE GODOY           "
189;14;"LEANDRO N ALEM                "
189;16;"GENERAL FERNANDEZ ORO         "
190;4;"BRIO BAJO PALERMO             "
190;14;"LIBERTAD                      "
191;4;"BRIO BARRANCA YACO            "
193;16;"GRAL ROCA                     "
194;4;"BRIO BELLA VISTA              "
194;7;"ESQUEL                        "
194;13;"EL ALTO                       "
196;8;"CASEROS                       "
196;14;"LOS HELECHOS                  "
198;10;"PERICO DEL CARMEN             "
199;8;"CEIBAS                        "
199;10;"LA QUIACA                     "
199;22;"CAMPO GALLO                   "
201;4;"BRIO CABILDO                  "
201;8;"LA PAZ                        "
202;16;"INGENIERO JACOBACCI           "
203;19;"EL CHORRILLO                  "
205;7;"GAIMAN                        "
206;4;"BRIO CASEROS                  "
208;4;"BRIO CENTENO                  "
208;8;"CHAJARI                       "
208;12;"LA REFORMA                    "
208;15;"JUNIN DE LOS ANDES            "
209;4;"BRIO CENTRO                   "
210;4;"BRIO CENTRO AMERICA           "
210;12;"LA RIOJA                      "
210;15;"VILLA LA ANGOSTURA            "
212;4;"BRIO CERRO CHICO              "
212;21;"CANDIOTI                      "
213;4;"BRIO CERRO DE LAS ROSAS       "
213;14;"MONTECARLO                    "
213;21;"CAPITAN BERMUDEZ              "
214;4;"BRIO CERRO NORTE              "
215;4;"BRIO CERVECEROS               "
217;4;"BRIO CHATEAU CARRERAS         "
217;24;"CONCEPCION                    "
218;14;"OBERA                         "
218;21;"CARCARA헤                     "
219;4;"BRIO CIUDADELA                "
219;8;"COLONIA ADELA                 "
220;4;"BRIO CNEL OLMEDO              "
220;7;"JOSE DE SAN MARTIN            "
221;4;"BRIO COFICO                   "
221;7;"JUAREZ CELMAN                 "
222;6;"LA ESCONDIDA                  "
222;20;"PICO TRUNCADO                 "
222;21;"CARLOS PELLEGRINI             "
223;4;"BRIO COL VELEZ SARSFIELD      "
224;4;"BRIO COLINAS DEL CERRO        "
224;14;"PANAMBI                       "
225;4;"BRIO COLON                    "
225;17;"EL CARRIL                     "
227;6;"LA LEONESA                    "
228;4;"BRIO CONSOR ESPERANZA         "
228;9;"LAGUNA BLANCA                 "
229;20;"PUERTO DESEADO                "
230;4;"BRIO COUNTRY CLUB             "
230;7;"KM 8 CMDRO RIVADAVIA          "
230;21;"CASILDA                       "
231;4;"BRIO CRISOL                   "
231;20;"PUERTO SAN JULIAN             "
232;9;"LAGUNA NAICK NECK             "
232;14;"LEANDRO N ALEM                "
232;16;"CIPOLLETTI                    "
232;20;"PUERTO SANTA CRUZ             "
233;4;"BARRIO DEAN FUNES             "
233;9;"LAGUNA YEMA                   "
234;4;"BRIO DEAN FUNES               "
234;14;"OBERA                         "
236;13;"EL SAUCE                      "
238;9;"LAS LOMITAS                   "
238;21;"CHA헤R LADEADO                "
239;10;"LEDESMA                       "
239;17;"EL ENCON                      "
240;4;"BRIO EJTO ARGENTINO           "
240;11;"GRAL. ACHA                    "
241;10;"LIB GRAL SAN MARTIN           "
242;4;"BARRIO DEL LIBERTADOR         "
242;11;"GRAL. PICO                    "
242;17;"EL GALPON                     "
243;8;"CERRITO                       "
245;4;"BRIO EL REFUGIO               "
246;21;"CLUCELLAS                     "
247;20;"RIO GALLEGOS                  "
249;20;"RIO TURBIO                    "
249;21;"CNEL. BOGADO                  "
250;6;"LA VERDE                      "
251;4;"BRIO EMPALME                  "
251;21;"CNEL. RODOLFO S DOMINGUEZ     "
253;4;"BRIO ESCOBAR                  "
253;11;"INT. ALVEAR                   "
253;13;"FRAY LUIS BELTRAN             "
254;4;"BRIO EST FLORES               "
255;5;"COLONIA LIEBIG S              "
256;7;"LAGO PUELO                    "
256;13;"GOBERNADOR BENEGAS            "
257;8;"COLONIA ELISA                 "
257;14;"POSADAS                       "
258;4;"BRIO FERREYRA                 "
259;4;"BRIO FERROVIARIO MITRE        "
259;6;"LAS BRE헤S                    "
259;13;"GODOY CRUZ                    "
260;15;"LAS LAJAS                     "
261;12;"MILAGRO                       "
261;13;"GOUDGE                        "
262;20;"TRES LAGOS                    "
263;13;"GRAL ALVEAR                   "
264;13;"GENERAL GUTIERREZ             "
264;15;"LAS PERLAS                    "
265;6;"LAS PALMAS                    "
265;13;"GENERAL ORTEGA                "
265;19;"EL AMPARO                     "
266;4;"BRIO GRAL ARTIGAS             "
266;12;"NONOGASTA                     "
266;13;"GRAL SAN MARTIN               "
268;20;"28 DE NOVIEMBRE               "
269;4;"BRIO GRAL BUSTOS              "
269;12;"OLTA                          "
269;20;"COMANDANTE LUIS PIEDRABUENA   "
271;8;"COLONIA GENERAL ROCA          "
271;24;"EL CHA헤R                     "
273;4;"BRIO GRAL PAZ                 "
273;14;"PUERTO ESPERANZA              "
274;4;"BRIO GRAL ROCA                "
274;13;"ING GIAGNONI                  "
275;9;"FORMOSA                       "
276;14;"PRTO HELVECIA                 "
280;4;"BRIO GRANJA DE FUNES          "
280;13;"JESUS NAZARENO                "
282;4;"BRIO GUEMES                   "
283;4;"BRIO GUI헤ZU                  "
284;16;"LLAO LLAO                     "
284;17;"EL TIPAL                      "
288;2;"ZARATE                        "
288;4;"BRIO INAUDI                   "
288;5;"CONCEPCION                    "
289;4;"BRIO INDEPENDENCIA            "
289;18;"POCITO-ABERASTAIN             "
291;2;"ARROYO PACIF DE LA SERNA      "
291;5;"CORRIENTES                    "
291;9;"PIRANE                        "
291;14;"PIRAY                         "
292;4;"BRIO IPONA                    "
292;16;"LOS MENUCOS                   "
293;3;"ESQUIU                        "
293;12;"PRTO ALEGRE (LA RIOJA-DEP CAPI"
293;14;"PUERTO RICO                   "
294;3;"POMAN                         "
296;4;"BRIO ITUZAINGO                "
297;4;"BRIO JARDIN                   "
298;16;"LUIS BELTRAN                  "
299;4;"BRIO JARDIN DEL PILAR         "
300;4;"BRIO JARDIN ESPINOSA          "
301;4;"BRIO JARDIN HIPODROMO         "
303;4;"BRIO JORGE NEWBERY            "
304;4;"BRIO JOSE HERNANDEZ           "
304;19;"EL DURAZNO                    "
306;4;"BRIO JOSE IGNACIO DIAZ        "
307;4;"BRIO JUAN XXIII               "
307;10;"PALPALA                       "
307;13;"LA COLONIA                    "
307;16;"MAQUINCHAO                    "
308;4;"BRIO JUNIORS                  "
308;13;"LA CONSULTA                   "
309;4;"BRIO KENNEDY                  "
310;4;"BRIO KENNEDY                  "
311;12;"SALICAS SAN BLAS              "
311;13;"LA DORMIDA                    "
313;3;"HUALFIN                       "
313;5;"CUAY CHICO SANTO TOME         "
315;4;"BARRIO LA FORTUNA             "
315;12;"AIMOGASTA                     "
316;4;"BRIO LA FRANCE                "
318;4;"BRIO LA SALLE                 "
319;5;"CURUZU CUATIA                 "
319;10;"PERICO DEL CARMEN             "
319;14;"RUIZ DE MONTOYA               "
320;3;"HUILLAPIMA                    "
322;4;"BRIO LAS FLORES               "
323;3;"ICA헲                         "
323;4;"BRIO LAS MAGNOLIAS            "
323;14;"SAN ANTONIO                   "
323;17;"GENERAL ENRIQUE MOSCONI       "
324;4;"BRIO LAS MARGARITAS           "
324;14;"SAN FRANCISCO DE ASIS         "
324;17;"GRAL GUEMES                   "
324;18;"SAN JUAN                      "
325;4;"BRIO LAS PALMAS               "
325;15;"NEUQUEN                       "
325;18;"SAN MARTIN                    "
326;4;"BRIO LAS ROSAS                "
327;22;"CONTRERAS ESTABLECIMIENTO     "
328;4;"BRIO LEANDRO N ALEM           "
328;14;"POSADAS                       "
329;14;"SAN JAVIER                    "
330;4;"BRIO LOMAS DE SAN MARTIN      "
330;13;"LA PAZ                        "
330;14;"SAN JOSE                      "
330;18;"VILLA KRAUSE                  "
331;18;"SANTA LUCIA                   "
334;4;"BRIO LOS BOULEVARES           "
334;7;"RIO MAYO                      "
334;14;"SAN PEDRO                     "
335;4;"BRIO LOS CAROLINOS            "
336;14;"SAN VICENTE                   "
337;4;"BRIO LOS GIGANTES             "
337;13;"VISTA FLORES                  "
338;4;"BRIO LOS GRANADOS             "
338;13;"LA PUNTILLA                   "
339;6;"PAMPA DEL INDIO               "
340;6;"PAMPA DEL INFIERNO            "
340;7;"PICO SALAMANCA                "
341;4;"BRIO LOS NARANJOS             "
341;14;"SANTA RITA                    "
342;11;"LA HUMADA                     "
343;4;"BRIO LOS OLMOS                "
343;14;"SANTO PIPO                    "
344;4;"BRIO LOS PARAISOS             "
346;2;"ARTURO SEGUI                  "
346;4;"BRIO LOS PLATANOS             "
347;2;"ARTURO VATTEONE               "
347;4;"BRIO LOS ROBLES               "
347;7;"PUERTO MADRYN                 "
348;2;"ASAMBLEA                      "
348;7;"PUERTO PIRAMIDES              "
349;4;"BRIO LOURDES                  "
349;13;"AGRELO                        "
350;15;"PICUN LEUFU                   "
352;4;"BRIO MAIPU                    "
353;15;"PIEDRA DEL AGUILA             "
354;2;"ATUCHA                        "
355;4;"BRIO MARCELO T DE ALVEAR      "
355;16;"PIEDRA BLANCA BARILOCHE       "
356;4;"BRIO MARCOS SASTRE            "
356;13;"LAS HERAS                     "
356;18;"URIBURU                       "
357;2;"AVELLANEDA                    "
359;2;"AYACUCHO                      "
359;13;"LAS PAREDES                   "
359;16;"PILCANIYEU                    "
361;4;"BRIO MARQUES SOBREMONTE       "
361;6;"PRESIDENCIA ROQUE SAENZ PE헤  "
361;14;"VILLA BONITA                  "
361;15;"PLAZA HUINCUL                 "
361;21;"CORONDA                       "
362;2;"AZUCENA                       "
362;4;"BRIO MATENZO                  "
362;13;"LAS VEGAS                     "
362;15;"PLOTTIER                      "
362;21;"CORREA                        "
363;2;"AZUL                          "
363;6;"PILAR                         "
363;7;"RADA TILLY                    "
363;18;"VILLA ABERASTAIN              "
365;7;"RAWSON                        "
365;13;"LAVALLE VILLA TULUMAYA        "
367;15;"PUERTO MANZANO                "
368;4;"BRIO MIRIZZI                  "
369;4;"BARRIO MULLER                 "
371;2;"BAHIA BLANCA                  "
372;4;"BRIO NUEVA CORDOBA            "
372;6;"PUERTO TIROL                  "
373;8;"COLONIA YERUA                 "
374;4;"BRIO O헤                      "
374;11;"LA MARUJA                     "
375;6;"PUERTO VILELAS                "
376;2;"BALCARCE                      "
376;4;"BRIO OBSERVATORIO             "
376;5;"ESQUINA                       "
377;4;"BRIO OLIVOS                   "
377;8;"COLON                         "
378;8;"CONCEPCION DEL URUGUAY        "
378;12;"VILLA SANTA RITA              "
378;13;"LOS CORRALITOS                "
379;8;"CONCORDIA                     "
379;12;"VILLA MAZAN                   "
379;13;"LOS CORREDORES                "
379;18;"VILLA KRAUSE                  "
380;2;"BALNEARIO CLAROMECO           "
381;4;"BRIO PALMAR                   "
382;2;"MONTE HERMOSO                 "
382;4;"BRIO PANAMERICANO             "
382;12;"VILLA UNION                   "
383;12;"VINCHINA                      "
383;18;"VILLA MARINI                  "
384;4;"BRIO PARQUE                   "
385;2;"AEROPUERTO EZEIZA             "
385;4;"BRIO PARQUE ATLANTICA         "
385;7;"SARMIENTO                     "
385;8;"CRESPO                        "
386;2;"PUNTA LARA                    "
386;4;"BRIO PARQUE ATLANTIDA         "
388;4;"BRIO PARQUE CAPITAL           "
389;2;"BALSA                         "
389;4;"BRIO PARQUE CHACABUCO         "
389;9;"VILLA DOS TRECE               "
389;16;"RIO COLORADO                  "
390;4;"BRIO PARQUE COHEMA            "
390;14;"2 DE MAYO                     "
391;4;"BRIO PARQUE FUTURA            "
391;10;"SAN PEDRO                     "
392;2;"BANFIELD                      "
392;6;"QUITILIPI                     "
392;10;"SAN PEDRO                     "
393;2;"BARADERO                      "
393;4;"BRIO PARQUE HORIZONTE         "
394;2;"BARKER                        "
394;4;"BRIO PARQUE LATINA            "
395;4;"BRIO PARQUE LICEO             "
396;4;"BRIO PARQUE LOS MOLINOS       "
396;6;"RESISTENCIA                   "
396;10;"SAN SALVADOR DE JUJUY         "
396;13;"LUJAN DE CUYO                 "
397;14;"COLONIA ALBERDI               "
397;15;"RINCON DE EMILIO              "
397;16;"SAN ANTONIO OESTE             "
398;2;"BARTOLOME MITRE               "
398;8;"ROSARIO DEL TALA              "
398;9;"BAHIA NEGRA                   "
398;13;"LUZURIAGA                     "
398;16;"SAN CARLOS DE BARILOCHE       "
399;4;"BRIO PARQUE REPUBLICA         "
399;13;"MAIPU                         "
399;18;"ZONDA                         "
400;13;"MALARGUE                      "
401;4;"BRIO PARQUE SAN CARLOS        "
401;10;"SANTA BARBARA                 "
401;14;"ARROYO                        "
401;15;"RINCON DE LOS SAUCES          "
402;2;"BAYAUCA                       "
402;16;"SAN JORGE                     "
403;2;"BECCAR                        "
403;4;"BRIO PASO DE LOS ANDES        "
403;13;"MAYOR DRUMMOND                "
403;22;"EL BOBADAL                    "
404;2;"BELEN DE ESCOBAR              "
404;4;"BRIO PATRIA                   "
404;6;"SAN BERNARDO                  "
404;8;"CURTIEMBRE                    "
404;21;"EL POZO                       "
405;2;"BELLA VISTA                   "
405;4;"BRIO PATRICIOS                "
406;4;"BRIO POETA LUGONES            "
407;8;"DIAMANTE                      "
407;13;"MEDRANO                       "
408;2;"BENAVIDEZ                     "
408;18;"COLONIA RICHET                "
409;2;"BENITEZ                       "
409;13;"MENDOZA                       "
410;2;"BENITO JUAREZ                 "
410;18;"DIAZ VELEZ                    "
411;2;"BERAZATEGUI                   "
411;4;"BRIO PQUE VELEZ SARSFIELD     "
411;6;"SANTA SYLVINA                 "
411;8;"VILLA DOMINGUEZ               "
412;4;"BRIO PRIMERA JUNTA            "
413;4;"BRIO PROVIDENCIA              "
413;7;"TRELEW                        "
414;2;"BERISSO                       "
414;4;"BRIO PUEYRREDON               "
414;21;"EL TREBOL                     "
415;4;"BRIO QUEBRADA LAS ROSAS       "
415;5;"GDOR. VIRASORO                "
416;2;"BERNAL ESTE                   "
416;4;"BRIO QUINTAS DE ARGUELLO      "
416;7;"TREVELIN                      "
416;12;"PUERTO ALEGRE                 "
416;13;"MONTE COMAN                   "
417;4;"BRIO QUINTAS DE SAN JORGE     "
417;5;"GOYA                          "
417;15;"SAN MARTIN DE LOS ANDES       "
417;21;"ELISA                         "
418;5;"GENERAL PAZ                   "
418;7;"RADA TILLY                    "
418;15;"SAN PATRICIO DEL CHA헤R       "
419;24;"INGENIO LA FLORIDA            "
420;4;"BRIO REMEDIOS DE ESCALADA     "
420;14;"COLONIA ALBERDI               "
422;10;"TILCARA                       "
422;13;"NUEVA CIUDAD                  "
